area,year,value_pct,value_text_pct,value_mil,value_text_mil
World,2000,13.0,13,800.3,800.3
World,2001,13.1,13.1,817.8,817.8
World,2002,13.3,13.3,839.6,839.6
World,2003,13.1,13.1,834.4,834.4
World,2004,12.9,12.9,836.4,836.4
World,2005,12.4,12.4,810.7,810.7
World,2006,11.5,11.5,764.9,764.9
World,2007,10.6,10.6,711.3,711.3
World,2008,10.1,10.1,685.5,685.5
World,2009,10.0,10,684.4,684.4
World,2010,9.2,9.2,636.8,636.8
World,2011,9.0,9,635.8,635.8
World,2012,8.9,8.9,637.4,637.4
World,2013,8.8,8.8,631.2,631.2
World,2014,8.3,8.3,606.9,606.9
World,2015,8.3,8.3,615.1,615.1
World,2016,8.3,8.3,619.6,619.6
World,2017,8.1,8.1,615.0,615
World,2018,8.3,8.3,633.4,633.4
World,2019,8.4,8.4,650.3,650.3
World,2020,9.9,9.9,768.0,768
